timestep,user_id_1based,x,y,served
1,1,456.4093077055157,156.79399836887256,False
1,2,215.47805805623796,-397.9298115107275,False
1,3,120.82060488829848,146.60682841520236,True
1,4,-299.0191643123153,187.5876433716023,False
1,5,-243.34542753670567,83.43180617691763,False
1,6,-286.5476765159806,-400.121549493516,False
1,7,26.19511058277784,-26.602523449261888,True
1,8,227.04769438307267,-101.97483819395993,False
1,9,179.398892760048,-18.9007854672347,False
1,10,-259.58258066970575,138.62297861216555,False
2,1,457.20281546828664,157.41782630044037,False
2,2,215.24483407197536,-397.33972055040954,False
2,3,120.81262424681537,147.67999349814153,True
2,4,-298.96454485695693,188.60885797269572,False
2,5,-242.94514433335286,83.09073561171782,False
2,6,-287.0809848188517,-399.73858678844965,True
2,7,25.082051760426673,-27.55580245767041,True
2,8,227.46054659816323,-100.98865412548868,False
2,9,180.00706843677224,-19.606018821166398,True
2,10,-260.28024706629026,137.8847497512378,False
3,1,458.0265247636175,158.00119484138813,False
3,2,214.95834135363984,-396.7735733163572,True
3,3,120.77682156913383,148.75259088493172,True
3,4,-298.9734120808447,189.6314937430121,False
3,5,-242.51328989005304,82.79063977180276,False
3,6,-287.6319792357161,-399.3815387076997,True
3,7,23.89788695094569,-28.419164788255298,True
3,8,227.85369452294537,-99.99445058614113,False
3,9,180.57795791668133,-20.341761261824725,True
3,10,-260.9258844877769,137.10061164350037,False
4,1,458.8090153337752,158.63878747418445,False
4,2,214.67363117127692,-396.2065275683411,True
4,3,120.69496973625054,149.82265969736014,True
4,4,-299.00862952401485,190.6535613915005,False
4,5,-242.06054928237307,82.52309217699079,True
4,6,-288.14877963931184,-398.9765751016482,True
4,7,22.69629556110986,-29.258103964690928,True
4,8,228.17344936228184,-98.97427275304898,False
4,9,181.2168803017663,-21.01926397258983,True
4,10,-261.498937431882,136.2619635794816,False
5,1,459.55552523686293,159.31815396023885,True
5,2,214.43421434517165,-395.6189219593974,True
5,3,120.68844181509404,150.89583460021785,True
5,4,-299.00606880397044,191.6762323987667,False
5,5,-241.61373659712024,82.24575808671469,True
5,6,-288.6292939284848,-398.5291556147195,True
5,7,21.558378523337566,-30.181567891995957,True
5,8,228.41714031288797,-97.93330172126933,False
5,9,181.88957379345175,-21.66324782603711,True
5,10,-261.9903172660053,135.37299445141986,False
