timestep,user_id_1based,x,y,served_gaussian_dql,served_gaussian_ppo,served_ppo_diffusion,served_ql_diffusion
1,1,456.5724231860237,-416.1320341372202,False,False,True,True
1,2,-454.8466814205452,367.5030226142933,True,True,True,True
1,3,238.73253459813213,-130.126198889897,False,False,False,False
1,4,371.90757838571386,367.5579776491989,False,False,True,True
1,5,211.8135596704188,253.23295005165647,False,False,True,True

2,1,425.11784453727023,-416.0355733866872,False,False,True,True
2,2,-417.3649187421835,330.8124412038846,True,True,True,True
2,3,273.4867819423154,-92.73419844109275,False,False,True,False
2,4,409.7426315548834,331.26688455192847,False,False,True,True
2,5,248.91355981247536,214.8829507339917,False,False,True,True

3,1,375.6646574516399,-415.9473420800688,False,False,True,True
3,2,-379.8426511836227,293.8841287742913,True,True,True,True
3,3,308.1129936457125,-54.66123988150231,False,False,True,False
3,4,449.6184482397749,294.5519021863168,False,False,True,True
3,5,284.5531901127748,175.11462938447713,False,True,True,True

4,1,375.2042392756247,-465.8222797675433,False,False,True,True
4,2,-334.18384277199284,252.77433199214583,True,True,True,True
4,3,347.5549921845517,-19.84233155288412,False,False,True,False
4,4,489.7712241189983,249.44773111384795,False,False,True,True
4,5,324.9011177754412,130.22481155644182,False,True,True,True

5,1,375.73760968709087,-485.6729307435713,True,False,True,True
5,2,-289.66153318244163,211.6649928813384,True,True,True,True
5,3,387.2199934413286,19.8834412271195,False,True,True,True
5,4,534.5523398841176,204.77166299377244,False,True,True,True
5,5,364.9924489921186,84.66133799111842,True,False,True,True
