timestep,user_id_1based,x,y,served_gaussian_dql,served_gaussian_ppo,served_ppo_diffusion,served_ql_diffusion
1,1,456.5724231860237,-416.1320341372202,False,False,True,True
1,2,-454.8466814205452,367.5030226142933,True,True,True,True
1,3,238.73253459813213,-130.126198889897,False,False,False,False
1,4,371.90757838571386,367.5579776491989,False,False,True,True
1,5,211.8135596704188,253.23295005165647,False,False,True,True
1,6,-315.0902981518449,327.2934923992609,True,True,True,True
1,7,-55.04556765698278,-390.5378628794556,False,False,True,True
1,8,122.00274501222331,251.49774478464303,True,True,True,True
1,9,413.2106114600304,473.3975307478351,False,False,True,True
1,10,426.6062650994922,-456.6597761886292,True,True,False,False

2,1,425.11784453727023,-416.0355733866872,False,False,True,True
2,2,-417.3649187421835,330.8124412038846,True,True,True,True
2,3,273.4867819423154,-92.73419844109275,False,False,True,False
2,4,409.7426315548834,331.26688455192847,False,False,True,True
2,5,248.91355981247536,214.8829507339917,False,False,True,True
2,6,-269.6848124513375,369.55129422588144,True,True,True,False
2,7,-16.87341827511843,-349.62455733177024,False,False,False,True
2,8,159.91847255109322,209.37492155277853,True,True,True,True
2,9,448.7734012486123,518.6610378245534,False,False,True,True
2,10,468.9923468271943,-409.74299821814455,True,True,False,False

3,1,375.6646574516399,-415.9473420800688,False,False,True,True
3,2,-379.8426511836227,293.8841287742913,True,True,True,True
3,3,308.1129936457125,-54.66123988150231,False,False,True,False
3,4,449.6184482397749,294.5519021863168,False,False,True,True
3,5,284.5531901127748,175.11462938447713,False,True,True,True
3,6,-225.66184798244133,414.99318451774427,True,True,True,True
3,7,24.11853377191237,-305.1884198832175,False,False,True,True
3,8,205.33128449173146,170.1184975508121,True,True,True,False
3,9,489.5518820173949,565.2251196678935,False,False,False,True
3,10,514.6723394512837,-360.5512197732816,True,True,True,False

4,1,375.2042392756247,-465.8222797675433,False,False,True,True
4,2,-334.18384277199284,252.77433199214583,True,True,True,True
4,3,347.5549921845517,-19.84233155288412,False,False,True,False
4,4,489.7712241189983,249.44773111384795,False,False,True,True
4,5,324.9011177754412,130.22481155644182,False,True,True,True
4,6,-184.9923385512932,455.5519032268185,True,True,True,False
4,7,69.99384711788422,-259.7744411184423,False,False,True,True
4,8,249.88211444122864,130.5519288810046,True,True,True,True
4,9,529.8842217735516,610.7738842217742,False,False,True,True
4,10,555.0042275511127,-315.1187734410282,True,True,True,True

5,1,375.73760968709087,-485.6729307435713,True,False,True,True
5,2,-289.66153318244163,211.6649928813384,True,True,True,True
5,3,387.2199934413286,19.8834412271195,False,True,True,True
5,4,534.5523398841176,204.77166299377244,False,True,True,True
5,5,364.9924489921186,84.66133799111842,True,False,True,True
5,6,-144.11888299388144,500.88377188211366,True,True,True,False
5,7,114.55188211888333,-214.6612277715524,False,False,True,True
5,8,294.6622288834417,84.77122877199152,True,True,True,True
5,9,574.7712287711184,655.5521187718821,False,True,True,True
5,10,599.7718821187714,-270.2241188827713,True,True,True,True
