Agent,Total Episodes,Final Reward (last 100),Best Reward,Mean Reward,Std Reward,Mean Length,Std Length,Final Eval Reward,Best Eval Reward,Mean Eval Reward
ppo_diffusion,20,18920.358803364183,26082.43764225908,18920.358803364183,3977.54336186335,10.0,0.0,,,
ql_diffusion,20,16668.788567070216,30189.201591475896,16668.788567070216,7135.691467911966,10.0,0.0,,,
gaussian_a2c,20,9529.701190073996,24473.381318429732,9529.701190073996,5945.523424697313,10.0,0.0,,,
gaussian_ppo,50,9838.445812778362,17591.339537979147,9838.445812778362,3832.2040414761145,10.0,0.0,11388.725818205088,11388.725818205088,11388.725818205088
a2c_diffusion,20,22538.407596957542,36751.983558983025,22538.407596957542,6975.852249745993,10.0,0.0,,,
gaussian_dql,20,11543.128048946544,18119.882420546965,11543.128048946544,4702.478662920009,10.0,0.0,,,
bc_diffusion,20,13356.237178657699,26056.29607310311,13356.237178657699,5639.167455951509,10.0,0.0,,,
