timestep,user_id_1based,x,y,served
1,1,-323.75834851731474,-90.63716416941054,False
1,2,231.85855152450495,0.2989078514089645,True
1,3,-443.77935561389614,-252.73756447183524,False
1,4,378.0410364410854,416.1822684777887,False
1,5,234.66156397034683,20.179473945421606,False
1,6,174.23926738706177,-266.1911588436923,True
1,7,-25.056062803839318,-33.06103039678656,False
1,8,-41.41474791800832,338.821499669751,True
1,9,-301.84288471815495,-144.0255250779825,False
1,10,-442.7543339645095,30.115147910182188,True
2,1,-318.8621883384068,-83.13945577188194,False
2,2,241.64585930415075,-8.71228442332048,True
2,3,-433.37083467872077,-254.72516106577874,False
2,4,389.8124023059258,425.3497700896929,False
2,5,229.52374011637497,11.784356646585582,False
2,6,179.7180585295171,-273.24578654216714,True
2,7,-23.116251686895616,-24.090026505033148,False
2,8,-55.01746678932771,340.8596583615087,True
2,9,-312.51497970518096,-152.58054646032517,False
2,10,-437.10048556176355,29.310807305073705,True
3,1,-313.8087674028176,-75.74682751397232,False
3,2,250.76244982168157,-18.40149270477082,True
3,3,-422.93404159964115,-256.55851823303107,False
3,4,401.57455363853006,434.5290912060453,False
3,5,223.98023559659043,3.6514121579771412,False
3,6,185.699531092068,-279.8795569881644,True
3,7,-21.559660484613843,-15.044651895640108,False
3,8,-68.42020986738358,343.9506985632146,True
3,9,-322.47085351814707,-161.95938321574113,False
3,10,-431.54616438997914,27.983222320627455,True
4,1,-309.2342159822468,-68.04867870971759,False
4,2,260.4739724777653,-27.49430896190652,True
4,3,-412.70905969185725,-259.3401712063063,False
4,4,412.4907891038562,444.6998307757006,False
4,5,218.84663091400807,-4.746285822935629,False
4,6,192.1462740757373,-286.06214780830175,True
4,7,-19.707504422895198,-6.055141568691694,False
4,8,-81.65175733367829,347.707585997265,True
4,9,-331.88511937857055,-171.88176199170562,False
4,10,-425.91066704526696,27.059027942803333,True
5,1,-304.75280172811483,-60.29594100005928,False
5,2,269.68530512462263,-37.09349281547442,True
5,3,-402.32516351833857,-261.4526457116728,False
5,4,422.83302308821396,455.4537294334429,False
5,5,214.37387707827452,-13.513822623006037,False
5,6,198.77527467958473,-292.04890614156744,True
5,7,-17.71360093337114,2.903994933769752,False
5,8,-94.72776743717118,351.97443627800936,True
5,9,-340.78046433704293,-182.2718938645081,False
5,10,-420.30911820621895,25.947445209031674,True
