timestep,user_id_1based,x,y,served
1,1,463.7606173083506,162.13088244140067,False
1,2,212.9504218217838,-392.80909698077113,False
1,3,121.50105360703644,156.2415829734311,True
1,4,-298.5173897843238,196.77802359119346,False
1,5,-239.6235050485133,80.50805676361477,False
1,6,-291.04781189124554,-396.29191320082316,False
1,7,16.100306455863333,-35.090976502675325,True
1,8,230.70891487095167,-93.07658286044186,False
1,9,184.99652958404027,-25.13875250020962,False
1,10,-265.41428520119683,131.5830522864282,False
2,1,471.69569493606014,168.3691617570788,False
2,2,210.6181819791578,-386.9081873775911,False
2,3,121.42124719220541,166.97323380282268,True
2,4,-297.9711952307405,206.9901696021277,False
2,5,-235.62067301498507,77.0973511116167,False
2,6,-296.38089491995646,-392.46228615015974,True
2,7,4.969718232351676,-44.62376658676055,True
2,8,234.83743702185745,-83.21474217572938,False
2,9,191.07828635128274,-32.191086039526596,True
2,10,-272.3909491670421,124.20076367715072,False
3,1,479.9327878893685,174.2028471665564,False
3,2,207.75325479580263,-381.2467150370681,True
3,3,121.06322041538999,177.69920767072446,True
3,4,-298.0598674696181,217.21652730529146,False
3,5,-231.30212858198695,74.09639271246617,False
3,6,-301.8908390886004,-388.89180534265995,True
3,7,-6.871929862458131,-53.257389892609446,True
3,8,238.7689162696788,-73.27270678225386,False
3,9,196.78718115037364,-39.54851044610987,True
3,10,-278.8473233819084,116.35938259977658,False
4,1,487.7576935909461,180.57877349451957,False
4,2,204.90615297217346,-375.5762575569064,True
4,3,120.24470208655714,188.39989579500852,True
4,4,-298.41204190131936,227.43720379017543,False
4,5,-226.77472250518713,71.42091676434643,True
4,6,-307.0588431245581,-384.8421692821451,True
4,7,-18.88784376081644,-61.64678165696576,True
4,8,241.96646466304352,-63.07092845133231,False
4,9,203.17640500122346,-46.323537553760914,True
4,10,-284.577852822959,107.97290195958885,False
5,1,495.2227926218235,187.37243835506337,True
5,2,202.51198471112082,-369.70020146747004,True
5,3,120.17942287499204,199.13164482358567,True
5,4,-298.38643470087544,237.6639138628376,False
5,5,-222.30659565265887,68.64757586158544,True
5,6,-311.8639860162878,-380.3679744128578,True
5,7,-30.26701413853938,-70.88142093001605,True
5,8,244.4033741691046,-52.661218133535804,False
5,9,209.90333991807776,-52.76337608823372,True
5,10,-289.4916511641921,99.08321067897135,False
